server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,connection/30s
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,client-2048,-,reuse,false,16379
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,client-3072,-,new,false,4305
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,client-3072,-,reuse,false,40220
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,none,-,new,false,6052
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,none,-,reuse,false,41687
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client,-,new,false,5153
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client,-,reuse,false,41032
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client-2048,-,new,false,11017
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client-2048,-,reuse,false,40433
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client-3072,-,new,false,7862
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client-3072,-,reuse,false,40486
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,none,-,new,false,15871
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,none,-,reuse,false,16381
tls-tomcat,10,-,need,server,client,-,new,false,1555
tls-tomcat,10,-,need,server,client,-,reuse,false,19400
tls-tomcat,10,-,need,server,client-2048,-,new,false,1885
tls-tomcat,10,-,need,server,client-2048,-,reuse,false,19527
tls-tomcat,10,-,need,server,client-3072,-,new,false,1864
tls-tomcat,10,-,need,server,client-3072,-,reuse,false,30461
tls-tomcat,10,-,need,server-2048,client,-,new,false,3239
tls-tomcat,10,-,need,server-2048,client,-,reuse,false,19272
tls-tomcat,10,-,need,server-2048,client-2048,-,new,false,5083
tls-tomcat,10,-,need,server-2048,client-2048,-,reuse,false,30777
tls-tomcat,10,-,need,server-2048,client-3072,-,new,false,4207
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,new,false,3225
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,39892
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,4747
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,16381
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-3072,-,new,false,3965
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-3072,-,reuse,false,40979
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,4802
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,16381
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,10125
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,16378
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-3072,-,new,false,7261
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-3072,-,reuse,false,16381
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client,-,new,false,3100
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client-2048,-,new,false,4812
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client-2048,-,reuse,false,39981
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client-3072,-,new,false,4036
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client-3072,-,reuse,false,37970
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,none,-,new,false,5913
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,none,-,reuse,false,40629
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,client,-,new,false,4739
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,client-2048,-,new,false,10271
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,client-2048,-,reuse,false,39767
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,client-3072,-,new,false,7210
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,none,-,new,false,15463
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,none,-,reuse,false,41622
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,new,false,3109
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,4973
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-3072,-,new,false,4155
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-3072,-,reuse,false,37881
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,4785
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,37620
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,10417
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-3072,-,new,false,7647
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-3072,-,reuse,false,36859
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,client,-,new,false,3082
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,client-2048,-,new,false,4846
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,client-2048,-,reuse,false,38665
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,client-3072,-,new,false,3980
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,none,-,new,false,5718
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,none,-,reuse,false,40791
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,client,-,new,false,4790
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,client,-,reuse,false,37722
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,client-2048,-,new,false,10464
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,client-2048,-,reuse,false,38363
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,client-3072,-,new,false,7346
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,none,-,new,false,15301
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,none,-,reuse,false,39509
