server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,page,connectionsTotal,seconds,bytes/connection
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,small,4599,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,-,39092,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,huge,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,large,5,60,8388719
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,medium,3,60,349616
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,small,3,60,6917
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,-,10878,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,huge,199,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,large,1640,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,medium,7860,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,small,9151,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,-,41385,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,huge,11,62,95325218
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,large,6,60,8738249
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,medium,8,60,458871
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,small,3,60,6917
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,-,3290,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,huge,184,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,large,1206,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,medium,2937,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,small,3055,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,-,16375,32,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,huge,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,large,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,medium,3,60,349616
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,small,2,60,5188
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,-,5147,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,huge,187,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,large,1383,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,medium,4340,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,small,4700,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,-,16378,32,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,huge,3,60,69905160
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,large,4,61,7864424
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,medium,3,60,349616
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,small,2,60,5188
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,-,5147,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,huge,188,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,large,1396,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,medium,4319,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,small,4682,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,-,16378,32,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,huge,6,60,87381450
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,large,7,60,8987913
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,medium,4,60,393318
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,small,5,60,8300
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,-,10977,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,huge,191,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,large,1616,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,medium,7802,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,small,9284,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,-,16376,32,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,huge,8,61,91750522
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,large,3,60,6990599
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,medium,2,60,262212
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,small,5,60,8300
tls-tomcat,10,-,need,server,client,-,new,false,-,1666,31,0
tls-tomcat,10,-,need,server,client,-,new,false,huge,1726,31,0
tls-tomcat,10,-,need,server,client,-,new,false,large,1720,31,0
tls-tomcat,10,-,need,server,client,-,new,false,medium,1718,31,0
tls-tomcat,10,-,need,server,client,-,new,false,small,1708,31,0
tls-tomcat,10,-,need,server,client,-,reuse,false,-,31483,31,0
tls-tomcat,10,-,need,server,client,-,reuse,false,huge,24954,31,0
tls-tomcat,10,-,need,server,client,-,reuse,false,large,24971,31,0
tls-tomcat,10,-,need,server,client,-,reuse,false,medium,24972,31,0
tls-tomcat,10,-,need,server,client,-,reuse,false,small,24916,31,0
tls-tomcat,10,-,need,server,client-2048,-,new,false,-,2029,31,0
tls-tomcat,10,-,need,server,client-2048,-,new,false,huge,2109,31,0
tls-tomcat,10,-,need,server,client-2048,-,new,false,large,2101,31,0
tls-tomcat,10,-,need,server,client-2048,-,new,false,medium,2093,31,0
tls-tomcat,10,-,need,server,client-2048,-,new,false,small,2086,31,0
tls-tomcat,10,-,need,server,client-2048,-,reuse,false,-,31353,31,0
tls-tomcat,10,-,need,server,client-2048,-,reuse,false,huge,25080,31,0
tls-tomcat,10,-,need,server,client-2048,-,reuse,false,large,25004,31,0
tls-tomcat,10,-,need,server,client-2048,-,reuse,false,medium,25039,31,0
tls-tomcat,10,-,need,server,client-2048,-,reuse,false,small,24911,31,0
tls-tomcat,10,-,need,server-2048,client,-,new,false,-,3301,31,0
tls-tomcat,10,-,need,server-2048,client,-,new,false,huge,3385,31,0
tls-tomcat,10,-,need,server-2048,client,-,new,false,large,3396,31,0
tls-tomcat,10,-,need,server-2048,client,-,new,false,medium,3374,31,0
tls-tomcat,10,-,need,server-2048,client,-,new,false,small,3365,31,0
tls-tomcat,10,-,need,server-2048,client,-,reuse,false,-,17621,31,0
tls-tomcat,10,-,need,server-2048,client,-,reuse,false,huge,25061,31,0
tls-tomcat,10,-,need,server-2048,client,-,reuse,false,large,24982,31,0
tls-tomcat,10,-,need,server-2048,client,-,reuse,false,medium,25007,31,0
tls-tomcat,10,-,need,server-2048,client,-,reuse,false,small,25005,31,0
tls-tomcat,10,-,need,server-2048,client-2048,-,new,false,-,5136,31,0
tls-tomcat,10,-,need,server-2048,client-2048,-,new,false,huge,5179,31,0
tls-tomcat,10,-,need,server-2048,client-2048,-,new,false,large,5184,31,0
tls-tomcat,10,-,need,server-2048,client-2048,-,new,false,medium,5205,31,0
tls-tomcat,10,-,need,server-2048,client-2048,-,new,false,small,5205,31,0
tls-tomcat,10,-,need,server-2048,client-2048,-,reuse,false,-,17261,31,0
tls-tomcat,10,-,need,server-2048,client-2048,-,reuse,false,huge,24975,31,0
tls-tomcat,10,-,need,server-2048,client-2048,-,reuse,false,large,25017,31,0
tls-tomcat,10,-,need,server-2048,client-2048,-,reuse,false,medium,25146,31,0
tls-tomcat,10,-,need,server-2048,client-2048,-,reuse,false,small,25423,31,0
