server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,openSSLClientVersion,page,connections/duration,duration,bytes/connection
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,true,1.1.1,large,156,31,10485899
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,true,1.1.1,medium,1770,31,524425
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,true,1.1.1,small,3655,31,10376
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,true,1.0.2p,-,4228,31,0
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,true,1.0.2p,huge,17,32,104857740
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,true,1.0.2p,large,154,31,10485899
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,true,1.0.2p,medium,1789,31,524425
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,true,1.0.2p,small,4012,31,10376
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,true,1.1.1,-,18274,31,0
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,true,1.1.1,huge,17,32,104857740
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,true,1.1.1,large,160,31,10485899
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,true,1.1.1,medium,2807,31,524425
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,true,1.1.1,small,17841,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,true,1.0.2p,-,55547,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,true,1.0.2p,huge,23,63,100298707
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,true,1.0.2p,large,8,60,9175161
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,true,1.0.2p,medium,3,60,349616
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,true,1.0.2p,small,6,60,8646
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,true,1.1.1,-,39304,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,true,1.1.1,huge,4,61,78643305
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,true,1.1.1,large,5,60,8388719
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,true,1.1.1,medium,2,60,262212
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,true,1.1.1,small,7,60,8893
