server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,ciphers,resumption,enableExtendedMasterSecret,connections/30s
tls-tomcat,10,-,need,server-2048,client-2048,-,reuse,false,30044
tls-tomcat,10,-,need,server-2048,client-3072,-,new,false,4229
tls-tomcat,10,-,need,server-2048,client-3072,-,reuse,false,30498
tls-tomcat,10,-,want,server,client,-,new,false,1661
tls-tomcat,10,-,want,server,client,-,reuse,false,30272
tls-tomcat,10,-,want,server,client-2048,-,new,false,2028
tls-tomcat,10,-,want,server,client-2048,-,reuse,false,18984
tls-tomcat,10,-,want,server,client-3072,-,new,false,1879
tls-tomcat,10,-,want,server,client-3072,-,reuse,false,30314
tls-tomcat,10,-,want,server,none,-,new,false,2154
tls-tomcat,10,-,want,server,none,-,reuse,false,30138
tls-tomcat,10,-,want,server-2048,client,-,new,false,3285
tls-tomcat,10,-,want,server-2048,client,-,reuse,false,30205
tls-tomcat,10,-,want,server-2048,client-2048,-,new,false,5100
tls-tomcat,10,-,want,server-2048,client-2048,-,reuse,false,30120
tls-tomcat,10,-,want,server-2048,client-3072,-,new,false,4223
tls-tomcat,10,-,want,server-2048,client-3072,-,reuse,false,30533
tls-tomcat,10,-,want,server-2048,none,-,new,false,5816
tls-tomcat,10,-,want,server-2048,none,-,reuse,false,30503
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,new,false,3314
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,16380
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,5067
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,40382
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-3072,-,new,false,4278
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server,client-3072,-,reuse,false,16380
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,5087
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,16376
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,10767
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,40269
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-3072,-,new,false,7646
tls-tomcat,10,1.2.17-openssl-1.0.2,need,server-2048,client-3072,-,reuse,false,40225
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client,-,new,false,3319
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client,-,reuse,false,40315
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client-2048,-,new,false,5068
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client-2048,-,reuse,false,16381
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client-3072,-,new,false,4257
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,client-3072,-,reuse,false,16379
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,none,-,new,false,5930
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server,none,-,reuse,false,16381
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,client,-,new,false,5100
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,client,-,reuse,false,40061
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,client-2048,-,new,false,10728
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,client-2048,-,reuse,false,40557
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,client-3072,-,new,false,7645
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,client-3072,-,reuse,false,16380
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,none,-,new,false,15390
tls-tomcat,10,1.2.17-openssl-1.0.2,want,server-2048,none,-,reuse,false,16379
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client,-,new,false,3288
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,5112
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server,client-3072,-,new,false,4266
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,5103
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,38092
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,10757
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,38331
tls-tomcat,10,1.2.17-openssl-1.1.1,need,server-2048,client-3072,-,new,false,7695
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,client,-,new,false,3313
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,client,-,reuse,false,38262
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,client-2048,-,new,false,5095
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,client-3072,-,new,false,4268
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,client-3072,-,reuse,false,38264
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,none,-,new,false,5989
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server,none,-,reuse,false,39628
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,client,-,new,false,5107
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,client-2048,-,new,false,10767
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,client-2048,-,reuse,false,37653
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,client-3072,-,new,false,7728
tls-tomcat,10,1.2.17-openssl-1.1.1,want,server-2048,none,-,new,false,15531
tls-tomcat,11,-,need,server,client,-,new,false,1668
tls-tomcat,11,-,need,server,client,-,reuse,false,18145
tls-tomcat,11,-,need,server,client-2048,-,new,false,2028
tls-tomcat,11,-,need,server,client-2048,-,reuse,false,29180
tls-tomcat,11,-,need,server,client-3072,-,new,false,1874
tls-tomcat,11,-,need,server,client-3072,-,reuse,false,28339
tls-tomcat,11,-,need,server-2048,client,-,new,false,3209
tls-tomcat,11,-,need,server-2048,client,-,reuse,false,18046
tls-tomcat,11,-,need,server-2048,client-2048,-,new,false,4951
tls-tomcat,11,-,need,server-2048,client-2048,-,reuse,false,28274
tls-tomcat,11,-,need,server-2048,client-3072,-,new,false,4136
tls-tomcat,11,-,need,server-2048,client-3072,-,reuse,false,28836
tls-tomcat,11,-,want,server,client,-,new,false,1663
tls-tomcat,11,-,want,server,client,-,reuse,false,28761
tls-tomcat,11,-,want,server,client-2048,-,new,false,2032
tls-tomcat,11,-,want,server,client-2048,-,reuse,false,28695
tls-tomcat,11,-,want,server,client-3072,-,new,false,1878
tls-tomcat,11,-,want,server,client-3072,-,reuse,false,18000
tls-tomcat,11,-,want,server,none,-,new,false,2158
tls-tomcat,11,-,want,server,none,-,reuse,false,29075
tls-tomcat,11,-,want,server-2048,client,-,new,false,3214
tls-tomcat,11,-,want,server-2048,client,-,reuse,false,28533
tls-tomcat,11,-,want,server-2048,client-2048,-,new,false,4761
tls-tomcat,11,-,want,server-2048,client-2048,-,reuse,false,28502
tls-tomcat,11,-,want,server-2048,client-3072,-,new,false,4136
tls-tomcat,11,-,want,server-2048,client-3072,-,reuse,false,17773
tls-tomcat,11,-,want,server-2048,none,-,new,false,5721
tls-tomcat,11,-,want,server-2048,none,-,reuse,false,18081
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client,-,new,false,3312
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,5047
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,40147
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client-3072,-,new,false,4253
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server,client-3072,-,reuse,false,16380
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,5086
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,40132
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,10750
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,40317
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server-2048,client-3072,-,new,false,7636
tls-tomcat,11,1.2.17-openssl-1.0.2,need,server-2048,client-3072,-,reuse,false,40210
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server,client,-,new,false,3320
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server,client-2048,-,new,false,5077
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server,client-2048,-,reuse,false,16380
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server,client-3072,-,new,false,4264
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server,client-3072,-,reuse,false,39931
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server,none,-,new,false,5939
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server,none,-,reuse,false,16380
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server-2048,client,-,new,false,5094
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server-2048,client-2048,-,new,false,10733
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server-2048,client-2048,-,reuse,false,40311
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server-2048,client-3072,-,new,false,7627
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server-2048,client-3072,-,reuse,false,40082
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server-2048,none,-,new,false,15381
tls-tomcat,11,1.2.17-openssl-1.0.2,want,server-2048,none,-,reuse,false,16380
tls-tomcat,11,1.2.17-openssl-1.1.1,need,server,client,-,new,false,3304
tls-tomcat,11,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,5101
tls-tomcat,11,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,37475
tls-tomcat,11,1.2.17-openssl-1.1.1,need,server,client-3072,-,new,false,4271
tls-tomcat,11,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,5105
tls-tomcat,11,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,10770
tls-tomcat,11,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,38153
tls-tomcat,11,1.2.17-openssl-1.1.1,need,server-2048,client-3072,-,new,false,7710
tls-tomcat,11,1.2.17-openssl-1.1.1,need,server-2048,client-3072,-,reuse,false,37442
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server,client,-,new,false,3303
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server,client-2048,-,new,false,5106
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server,client-3072,-,new,false,4279
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server,client-3072,-,reuse,false,38112
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server,none,-,new,false,5990
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server-2048,client,-,new,false,5115
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server-2048,client,-,reuse,false,38089
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server-2048,client-2048,-,new,false,10818
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server-2048,client-2048,-,reuse,false,38406
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server-2048,client-3072,-,new,false,7712
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server-2048,none,-,new,false,15602
tls-tomcat,11,1.2.17-openssl-1.1.1,want,server-2048,none,-,reuse,false,16381
tls-undertow,1.8,-,need,server,client,-,new,false,1049
tls-undertow,1.8,-,need,server,client,-,reuse,false,1050
tls-undertow,1.8,-,need,server,client-2048,-,new,false,1191
tls-undertow,1.8,-,need,server,client-2048,-,reuse,false,1192
tls-undertow,1.8,-,need,server,client-3072,-,new,false,1137
tls-undertow,1.8,-,need,server,client-3072,-,reuse,false,1137
tls-undertow,1.8,-,need,server-2048,client,-,new,false,2719
tls-undertow,1.8,-,need,server-2048,client,-,reuse,false,2716
tls-undertow,1.8,-,need,server-2048,client-2048,-,new,false,3927
tls-undertow,1.8,-,need,server-2048,client-2048,-,reuse,false,3824
tls-undertow,1.8,-,need,server-2048,client-3072,-,new,false,3364
tls-undertow,1.8,-,need,server-2048,client-3072,-,reuse,false,3366
tls-undertow,1.8,-,want,server,client,-,new,false,1052
tls-undertow,1.8,-,want,server,client,-,reuse,false,1050
tls-undertow,1.8,-,want,server,client-2048,-,new,false,1194
tls-undertow,1.8,-,want,server,client-2048,-,reuse,false,1193
tls-undertow,1.8,-,want,server,client-3072,-,new,false,1134
tls-undertow,1.8,-,want,server,client-3072,-,reuse,false,1135
tls-undertow,1.8,-,want,server,none,-,new,false,1237
tls-undertow,1.8,-,want,server,none,-,reuse,false,1238
tls-undertow,1.8,-,want,server-2048,client,-,new,false,2717
tls-undertow,1.8,-,want,server-2048,client,-,reuse,false,2715
tls-undertow,1.8,-,want,server-2048,client-2048,-,new,false,3923
tls-undertow,1.8,-,want,server-2048,client-2048,-,reuse,false,3919
tls-undertow,1.8,-,want,server-2048,client-3072,-,new,false,3369
tls-undertow,1.8,-,want,server-2048,client-3072,-,reuse,false,3351
tls-undertow,1.8,-,want,server-2048,none,-,new,false,4424
tls-undertow,1.8,-,want,server-2048,none,-,reuse,false,4418
tls-undertow,10,-,need,server,client,-,new,false,1627
tls-undertow,10,-,need,server,client,-,reuse,false,1629
tls-undertow,10,-,need,server,client-2048,-,new,false,1979
tls-undertow,10,-,need,server,client-2048,-,reuse,false,1981
tls-undertow,10,-,need,server,client-3072,-,new,false,1839
tls-undertow,10,-,need,server,client-3072,-,reuse,false,1838
tls-undertow,10,-,need,server-2048,client,-,new,false,3176
tls-undertow,10,-,need,server-2048,client,-,reuse,false,3185
tls-undertow,10,-,need,server-2048,client-2048,-,new,false,4900
tls-undertow,10,-,need,server-2048,client-2048,-,reuse,false,4896
tls-undertow,10,-,need,server-2048,client-3072,-,new,false,4085
tls-undertow,10,-,need,server-2048,client-3072,-,reuse,false,4072
tls-undertow,10,-,want,server,client,-,new,false,1626
tls-undertow,10,-,want,server,client,-,reuse,false,1630
tls-undertow,10,-,want,server,client-2048,-,new,false,1981
tls-undertow,10,-,want,server,client-2048,-,reuse,false,1982
tls-undertow,10,-,want,server,client-3072,-,new,false,1839
tls-undertow,10,-,want,server,client-3072,-,reuse,false,1840
tls-undertow,10,-,want,server,none,-,new,false,2108
tls-undertow,10,-,want,server,none,-,reuse,false,2109
tls-undertow,10,-,want,server-2048,client,-,new,false,3179
tls-undertow,10,-,want,server-2048,client,-,reuse,false,3186
tls-undertow,10,-,want,server-2048,client-2048,-,new,false,4903
tls-undertow,10,-,want,server-2048,client-2048,-,reuse,false,4899
tls-undertow,10,-,want,server-2048,client-3072,-,new,false,4084
tls-undertow,10,-,want,server-2048,client-3072,-,reuse,false,4087
tls-undertow,10,-,want,server-2048,none,-,new,false,5473
tls-undertow,10,-,want,server-2048,none,-,reuse,false,5699
tls-undertow,11,-,need,server,client,-,new,false,1654
tls-undertow,11,-,need,server,client,-,reuse,false,1660
tls-undertow,11,-,need,server,client-2048,-,new,false,2002
tls-undertow,11,-,need,server,client-2048,-,reuse,false,2001
tls-undertow,11,-,need,server,client-3072,-,new,false,1868
tls-undertow,11,-,need,server,client-3072,-,reuse,false,1869
tls-undertow,11,-,need,server,client-untrusted-2048,-,new,false,2000
tls-undertow,11,-,need,server,client-untrusted-2048,-,reuse,false,2001
tls-undertow,11,-,need,server-2048,client,-,new,false,3219
tls-undertow,11,-,need,server-2048,client,-,reuse,false,3210
tls-undertow,11,-,need,server-2048,client-2048,-,new,false,4861
tls-undertow,11,-,need,server-2048,client-2048,-,reuse,false,4797
tls-undertow,11,-,need,server-2048,client-3072,-,new,false,4108
tls-undertow,11,-,need,server-2048,client-3072,-,reuse,false,4097
tls-undertow,11,-,need,server-2048,client-untrusted-2048,-,new,false,4827
tls-undertow,11,-,need,server-2048,client-untrusted-2048,-,reuse,false,4834
tls-undertow,11,-,want,server,client,-,new,false,1658
tls-undertow,11,-,want,server,client,-,reuse,false,1657
tls-undertow,11,-,want,server,client-2048,-,new,false,2004
tls-undertow,11,-,want,server,client-2048,-,reuse,false,2001
tls-undertow,11,-,want,server,client-3072,-,new,false,1869
tls-undertow,11,-,want,server,client-3072,-,reuse,false,1867
tls-undertow,11,-,want,server,client-untrusted-2048,-,new,false,2002
tls-undertow,11,-,want,server,client-untrusted-2048,-,reuse,false,1999
tls-undertow,11,-,want,server,none,-,new,false,2093
tls-undertow,11,-,want,server,none,-,reuse,false,2085
tls-undertow,11,-,want,server-2048,client,-,new,false,3222
tls-undertow,11,-,want,server-2048,client,-,reuse,false,3201
tls-undertow,11,-,want,server-2048,client-2048,-,new,false,4865
tls-undertow,11,-,want,server-2048,client-2048,-,reuse,false,4835
tls-undertow,11,-,want,server-2048,client-3072,-,new,false,4103
tls-undertow,11,-,want,server-2048,client-3072,-,reuse,false,4113
tls-undertow,11,-,want,server-2048,client-untrusted-2048,-,new,false,4835
tls-undertow,11,-,want,server-2048,client-untrusted-2048,-,reuse,false,4807
tls-undertow,11,-,want,server-2048,none,-,new,false,5358
tls-undertow,11,-,want,server-2048,none,-,reuse,false,5387
