server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipherSet,resumption,connections/30s
tls-tomcat,10,1.2.17,need,server-2048,client-4096,-,reuse,53738
tls-tomcat,10,1.2.17,need,server-2048,client-2048,-,new,11856
tls-tomcat,10,1.2.17,need,server-2048,client-2048,-,reuse,53955
tls-tomcat,10,1.2.17,need,server-2048,client-3072,-,new,8184
tls-tomcat,10,1.2.17,need,server-2048,client-3072,-,reuse,53894
tls-tomcat,10,1.2.17,want,server-4096,client-4096,-,new,3348
tls-tomcat,10,1.2.17,want,server-4096,client-4096,-,reuse,53822
tls-tomcat,10,1.2.17,want,server-4096,client-2048,-,new,5230
tls-tomcat,10,1.2.17,want,server-4096,client-2048,-,reuse,54231
tls-tomcat,10,1.2.17,want,server-4096,client-3072,-,new,4400
tls-tomcat,10,1.2.17,want,server-4096,client-3072,-,reuse,53811
tls-tomcat,10,1.2.17,want,server-4096,none,-,new,6145
tls-tomcat,10,1.2.17,want,server-4096,none,-,reuse,56868
tls-tomcat,10,1.2.17,want,server-2048,client-4096,-,new,5299
tls-tomcat,10,1.2.17,want,server-2048,client-4096,-,reuse,54010
tls-tomcat,10,1.2.17,want,server-2048,client-2048,-,new,11866
tls-tomcat,10,1.2.17,want,server-2048,client-2048,-,reuse,54234
tls-tomcat,10,1.2.17,want,server-2048,client-3072,-,new,8240
tls-tomcat,10,1.2.17,want,server-2048,client-3072,-,reuse,54176
tls-tomcat,10,1.2.17,want,server-2048,none,-,new,17505
tls-tomcat,10,1.2.17,want,server-2048,none,-,reuse,57103
tls-tomcat,11,-,need,server-4096,client-4096,-,new,1675
tls-tomcat,11,-,need,server-4096,client-4096,-,reuse,1680
tls-tomcat,11,-,need,server-4096,client-2048,-,new,2061
tls-tomcat,11,-,need,server-4096,client-2048,-,reuse,2057
tls-tomcat,11,-,need,server-4096,client-3072,-,new,1902
tls-tomcat,11,-,need,server-4096,client-3072,-,reuse,1902
tls-tomcat,11,-,need,server-2048,client-4096,-,new,3186
tls-tomcat,11,-,need,server-2048,client-4096,-,reuse,3257
tls-tomcat,11,-,need,server-2048,client-2048,-,new,5188
tls-tomcat,11,-,need,server-2048,client-2048,-,reuse,5199
tls-tomcat,11,-,need,server-2048,client-3072,-,new,4308
tls-tomcat,11,-,need,server-2048,client-3072,-,reuse,4279
tls-tomcat,11,-,want,server-4096,client-4096,-,new,1689
tls-tomcat,11,-,want,server-4096,client-4096,-,reuse,1683
tls-tomcat,11,-,want,server-4096,client-2048,-,new,2062
tls-tomcat,11,-,want,server-4096,client-2048,-,reuse,2062
tls-tomcat,11,-,want,server-4096,client-3072,-,new,1916
tls-tomcat,11,-,want,server-4096,client-3072,-,reuse,1921
tls-tomcat,11,-,want,server-4096,none,-,new,2147
tls-tomcat,11,-,want,server-4096,none,-,reuse,2194
tls-tomcat,11,-,want,server-2048,client-4096,-,new,3308
tls-tomcat,11,-,want,server-2048,client-4096,-,reuse,3310
tls-tomcat,11,-,want,server-2048,client-2048,-,new,5212
tls-tomcat,11,-,want,server-2048,client-2048,-,reuse,5209
tls-tomcat,11,-,want,server-2048,client-3072,-,new,4318
tls-tomcat,11,-,want,server-2048,client-3072,-,reuse,4287
tls-tomcat,11,-,want,server-2048,none,-,new,5916
tls-tomcat,11,-,want,server-2048,none,-,reuse,6050
tls-tomcat,11,1.2.17,need,server-4096,client-4096,-,new,3408
tls-tomcat,11,1.2.17,need,server-4096,client-4096,-,reuse,55766
tls-tomcat,11,1.2.17,need,server-4096,client-2048,-,new,5276
tls-tomcat,11,1.2.17,need,server-4096,client-2048,-,reuse,55667
tls-tomcat,11,1.2.17,need,server-4096,client-3072,-,new,4418
tls-tomcat,11,1.2.17,need,server-4096,client-3072,-,reuse,55768
tls-tomcat,11,1.2.17,need,server-2048,client-4096,-,new,5196
tls-tomcat,11,1.2.17,need,server-2048,client-4096,-,reuse,55261
tls-tomcat,11,1.2.17,need,server-2048,client-2048,-,new,11849
tls-tomcat,11,1.2.17,need,server-2048,client-2048,-,reuse,55415
tls-tomcat,11,1.2.17,need,server-2048,client-3072,-,new,8199
tls-tomcat,11,1.2.17,need,server-2048,client-3072,-,reuse,55652
tls-tomcat,11,1.2.17,want,server-4096,client-4096,-,new,3375
tls-tomcat,11,1.2.17,want,server-4096,client-4096,-,reuse,55236
tls-tomcat,11,1.2.17,want,server-4096,client-2048,-,new,5229
tls-tomcat,11,1.2.17,want,server-4096,client-2048,-,reuse,55224
tls-tomcat,11,1.2.17,want,server-4096,client-3072,-,new,4355
tls-tomcat,11,1.2.17,want,server-4096,client-3072,-,reuse,55140
tls-tomcat,11,1.2.17,want,server-4096,none,-,new,6161
tls-tomcat,11,1.2.17,want,server-4096,none,-,reuse,59138
tls-tomcat,11,1.2.17,want,server-2048,client-4096,-,new,5280
tls-tomcat,11,1.2.17,want,server-2048,client-4096,-,reuse,54747
tls-tomcat,11,1.2.17,want,server-2048,client-2048,-,new,11827
tls-tomcat,11,1.2.17,want,server-2048,client-2048,-,reuse,55475
tls-tomcat,11,1.2.17,want,server-2048,client-3072,-,new,8196
tls-tomcat,11,1.2.17,want,server-2048,client-3072,-,reuse,55138
tls-tomcat,11,1.2.17,want,server-2048,none,-,new,17546
tls-tomcat,11,1.2.17,want,server-2048,none,-,reuse,58624
